stop_id,stop_code,stop_name,stop_lat,stop_lon,stop_url
PG7,,PG7-Parada / Municipalidad De La Cisterna,-33.5340460937901,-70.6635794941149,
PG8,,PG8-Parada 9 / (M) La Cisterna,-33.537856136243,-70.664592617525,
PG9,,PG9-Parada 1 / Paradero 27 Gran Avenida,-33.5426413651062,-70.6660488654429,
PG10,,PG10-Parada 1 / Paradero 28 Gran Avenida,-33.5461387879021,-70.6688418568758,
PG11,,PG11-Parada / Paradero 29 Gran Avenida,-33.548861885188,-70.6710051834679,
PG12,,PG12-Parada 1 / Paradero 3 - Gran Avenida,-33.5507875888838,-70.6725135088784,
PG13,,PG13-Parada 1 / Paradero 31 Gran Avenida,-33.5538918193474,-70.6749623154207,
PG14,,PG14-Parada / Paradero 32 Gran Avenida,-33.5560371653008,-70.676629090895,
PG15,,PG15-Gran Avenida / Esq. Lo Espina,-33.5582456487729,-70.6783596460701,
PG16,,PG16-Parada / Paradero 33 Gran Avenida,-33.5594529651246,-70.6793039690518,
PG17,,PG17-Parada / Escuela De Aviación,-33.5615970786988,-70.6809903289284,
PG18,,PG18-Parada / Paradero 35 Gran Avenida,-33.5637220424341,-70.6826904061832,
PG19,,PG19-Parada / Paradero 36 Gran Avenida,-33.566085472227,-70.6846246506674,
PG20,,PG20-Parada 1 / Paradero 36 1/2 Gran Avenida,-33.5681027496795,-70.686281878947,
PG21,,PG21-Parada / Paradero 37 Gran Avenida,-33.5708927535567,-70.6883420531288,
PG22,,PG22-Parada / Paradero 38 Gran Avenida,-33.5736750750474,-70.6903677389475,
PG23,,PG23-Parada 1 / Paradero 39 Gran Avenida,-33.5759072777325,-70.6919971262542,
PG24,,PG24-Parada / Paradero 4 Gran Avenida,-33.5785546937825,-70.6939256061298,
PG25,,PG25-Parada 1 / Paradero 41 Gran Avenida,-33.5823773139661,-70.6967596185737,
PG26,,PG26-Parada 2 / Est.Freire,-33.5856881785584,-70.7002755887858,
PG27,,PG27-Av.José M. Balmaceda / Esq. Urmeneta,-33.5851697793641,-70.7038663121296,
PG28,,PG28-Urmeneta / Esq. 12 De Febrero,-33.5864933834606,-70.7046023972294,
PG29,,PG29-Urmeneta / Esq. Av. Colón -Norte,-33.5890817229252,-70.7055692014113,
PG30,,PG30-Urmeneta / Esq. Covadonga,-33.5934443789682,-70.7071529031244,
PG31,,PG31-San José / Esq. Eyzaguirre,-33.5961492765006,-70.7069271074463,
PG32,,PG32-San José / Esq. Bulnes,-33.5967878360362,-70.702607694473,
PG1204,,PG1204-San José / Esq. San Martín,-33.5985237968993,-70.6954604651612,
PG1580,,PG1580-José Besa / Esq. Antonio Varas,-33.598217755212,-70.6938412614923,
PG1581,,PG1581-José Besa / Esq. San José,-33.5986945174016,-70.6942568536633,
PG1219,,PG1219-San José / Esq. José Besa,-33.5989789196471,-70.6939692983765,
PG529,,PG529-José Joaquín Pérez / Esq. San José,-33.5968699046837,-70.7011017276525,
PG36,,PG36-Esmeralda / Esq. Bulnes,-33.5982116673615,-70.7026152057894,
PG37,,PG37-Freire / Esq. San José,-33.5967421916706,-70.7052631070965,
PG1599,,PG1599-Parada 2 / Plaza De San Bernardo,-33.5922414116906,-70.7036885692459,
PG40,,PG40-Freire / Esq. 12 De Febrero,-33.5880634826485,-70.7008674108744,
PG41,,PG41-Parada 1 / Est.Freire,-33.5861965304654,-70.6992457943487,
PG43,,PG43-Parada 2 / Paradero 41 Gran Avenida,-33.5821049302449,-70.696237119911,
PG44,,PG44-Parada / Paradero 4 Gran Avenida,-33.5796761039324,-70.6944172667838,
PG45,,PG45-Parada 2 / Paradero 39 Gran Avenida,-33.5768374010817,-70.6923654234806,
PG46,,PG46-Parada / Paradero 38 Gran Avenida,-33.5744668771988,-70.6906298865274,
PG47,,PG47-Parada / Paradero 37 Gran Avenida,-33.5717903273649,-70.6886514793459,
PG48,,PG48-Parada 2 / Paradero 36 1/2 Gran Avenida,-33.568678030665,-70.6864191055368,
PG49,,PG49-Parada / Paradero 36 Gran Avenida,-33.5664135913667,-70.6845685445168,
PG50,,PG50-Parada / Paradero 35 Gran Avenida,-33.5642221251341,-70.6827873621887,
PG51,,PG51-Parada / Escuela De Aviación,-33.5616204864031,-70.6807279509991,
PG52,,PG52-Parada / Paradero 33 Gran Avenida,-33.5592210950154,-70.6788470778679,
PG53,,PG53-Gran Avenida / Esq. Los Treboles,-33.5576025072489,-70.6775738249839,
PG54,,PG54-Parada / Paradero 32 Gran Avenida,-33.555716324693,-70.6760821834714,
PG55,,PG55-Parada 2 / Paradero 31 Gran Avenida,-33.5537631309583,-70.6745430004152,
PG56,,PG56-Parada 2 / Paradero 30 Gran Avenida,-33.5513379960504,-70.6726242832307,
PG57,,PG57-Parada / Paradero 29 Gran Avenida,-33.5492176142852,-70.6709743370912,
PG58,,PG58-Parada 2 / Paradero 28 Gran Avenida,-33.5458904720622,-70.6683308990474,
PG59,,PG59-Parada 2 / Paradero 27 Gran Avenida,-33.5430638125662,-70.6660860512898,
PG61,,PG61-Parada 8 / (M) La Cisterna,-33.5379274417755,-70.6644539892587,
PG62,,PG62-Parada / Paradero 23 Gran Avenida,-33.5334500409654,-70.6631739542333,
PG63,,PG63-Parada / Iglesia Don Bosco,-33.5321849755571,-70.6628256030034,
PG64,,PG64-Parada 2 / Paradero 22 Gran Avenida,-33.529534621623,-70.6620824843551,
PG65,,PG65-Parada 2 / (M) El Parrón,-33.5268674538381,-70.661382162992,
PG66,,PG66-Parada 2 / Paradero 2 Gran Avenida,-33.5243462490923,-70.6606911390124,
PG67,,PG67-Parada 2 / Paradero 19 Gran Avenida,-33.5208195566701,-70.6596611727734,
PG68,,PG68-Parada / (M) Lo Ovalle,-33.5188375974131,-70.659106519104,
